[ 0.85612093  0.02627899]
[-0.42144411  2.49079718]
[ 0.3138923   1.40143003]
[ 0.57019543  0.69166627]
[-0.43953173  1.40313054]
[-0.43892636  2.91991162]
[-0.80191698  3.26444971]
[ 0.86369876  1.17968094]
[ 0.9676583   0.06975914]
[-0.69049277  4.17389485]
[-0.74334533  0.35972962]
[-0.68771668  0.58137262]
[ 0.79320227  1.08433441]
[-0.31933207  2.67671214]
[-0.28740653  2.78131393]
[ 0.36067961  3.3320884 ]
[ 0.64981454  3.15548579]
[-0.61784684  2.83864434]
[-0.80668815  3.98825035]
[ 0.93383088  0.9586443 ]
[ 0.55956586  1.75274101]
[ 0.30549283  2.00905476]
[-0.21847028  1.84693008]
[-0.00129476  0.05220433]
[ 0.23305879  2.15391969]
[ 0.32287536  3.29257784]
[ 0.92864859  1.71964963]
[ 0.72608592  0.5556491 ]
[ 0.91547672  4.38801328]
[ 0.12938821  0.22468857]
[-0.72736281  3.3451276 ]
[ 0.88412071  4.86984481]
[ 0.20919581  3.39017437]
[ 0.11856927  2.57865011]
[-0.41790215  2.12238737]
[-0.85476652  3.8091043 ]
[ 0.83301762  1.86219116]
[ 0.34979966  1.09321866]
[ 0.08067227  3.18501647]
[-0.51107258  3.6548367 ]
[ 0.07876038  0.13567177]
[-0.84923414  0.97370372]
[-0.63422026  4.1619996 ]
[  7.17039427e-04   1.34460053e+00]
[-0.60039059  1.26335264]
[-0.87574731  1.40930534]
[ 0.62678461  2.62519655]
[-0.57575383  2.37791827]
[ 0.77222408  2.55260171]
[-0.59367356  2.08055506]
[-0.70163985  2.99629634]
[-0.36133052  1.19740584]
[ 0.9684886  0.959107 ]
[-0.46498905  4.7542242 ]
[-0.53880844  2.8477289 ]
[-0.26095357  4.47348617]
[-0.21297958  0.28675284]
[ 0.33099076  4.84075098]
[-0.20007406  3.99001941]
[ 0.75877129  1.03844363]
[ 0.02551785  1.44211961]
[ 0.21201805  1.20667574]
[-0.87005743  4.82434225]
[-0.63210533  4.6126192 ]
[ 0.77977951  2.75632373]
[ 0.02494425  1.48535194]
[-0.33107339  4.74892507]
[ 0.15313781  1.45508126]
[-0.82304386  2.45249902]
[ 0.27096476  3.41755847]
[-0.53433646  2.37840671]
[-0.95611652  0.45457804]
[-0.75108063  0.85027808]
[-0.58423184  1.05238134]
[ 0.41876034  2.6970161 ]
[ 0.78922792  3.10609243]
[-0.92065366  1.26124963]
[-0.67709095  4.26448232]
[-0.89709017  0.04213614]
[-0.73121685  4.59197656]
[-0.8230453   1.89963846]
[-0.26245066  1.96612531]
[ 0.42328046  2.82136348]
[-0.86132804  0.89385363]
[-0.98476423  4.63770171]
[-0.71281788  1.5722797 ]
[ 0.12300376  2.78088221]
[ 0.02191756  4.36722987]
[ 0.59709228  1.13873945]
[-0.84548354  2.87625406]
[-0.99851227  3.91640508]
[ 0.87386682  4.09674785]
[ 0.90053192  1.54720606]
[ 0.59954702  4.89990072]
[-0.45583473  1.79921888]
[ 0.78588005  0.48044553]
[ 0.17720095  0.0469713 ]
[ 0.27750832  1.27689634]
[-0.12315036  2.90832328]
[-0.53641145  1.42066721]
[ 0.32777522  4.53913807]
[-0.66613962  4.09153307]
[ 0.80518546  0.97372448]
[-0.15454481  0.90025398]
[ 0.57491467  4.9984083 ]
[ 0.3804057   3.42956097]
[-0.95258891  0.39396398]
[ 0.49330625  0.16461119]
[ 0.48285016  1.2754116 ]
[ 0.98799629  2.15849345]
[ 0.25355812  4.10622066]
[ 0.20976493  4.87630202]
[ 0.32914289  2.23677919]
[ 0.11751047  0.93025502]
[-0.59236286  4.6939164 ]
[ 0.57813323  1.52202492]
[-0.62741092  3.38170876]
[ 0.92345718  2.84035639]
[-0.98991325  2.54321562]
[ 0.46161416  1.26946937]
[-0.67462475  2.08367162]
[-0.31577     1.75830946]
[ 0.89223014  3.32963929]
[-0.20822934  1.73644514]
[-0.85622006  2.498471  ]
[ 0.99800035  1.26747082]
[ 0.03115648  2.05279941]
[ 0.07047682  2.53601921]
[ 0.98830946  4.15431793]
[-0.76694623  1.69592161]
[ 0.61080742  0.38398645]
[  8.61004065e-04   1.35802609e+00]
