[-0.82903781  0.50313326]
[-0.98357908  1.46587186]
[-0.33647737  4.5515251 ]
[ 0.89968399  4.68270047]
[ 0.56531419  0.85789484]
[ 0.84479392  4.92735462]
[ 0.74231162  3.03966945]
[ 0.05860865  0.13606148]
[ 0.5801547   1.40821352]
[ 0.760241    3.83367269]
[-0.25242191  2.08081936]
[ 0.33527692  0.34995119]
[-0.41861532  4.81430284]
[-0.90414967  2.28560818]
[ 0.2379532   3.28086525]
[ 0.32408336  0.93036744]
[-0.53814755  2.33170082]
[-0.18866586  1.76889109]
[-0.39868735  1.69006697]
[-0.10945158  4.04227985]
[-0.25157996  3.56515901]
[ 0.28888234  0.7362093 ]
[ 0.3674636   0.17322435]
[-0.65553763  1.20271147]
[ 0.39026384  2.37009487]
[ 0.9279674   2.00060761]
[ 0.89184595  1.49742164]
[ 0.3990346   3.23924629]
[ 0.13159446  4.7949835 ]
[ 0.35582417  3.95122359]
[ 0.09356891  4.6695832 ]
[-0.38868784  2.63614836]
[ 0.46384085  0.46380404]
[ 0.33447337  1.88087005]
[ 0.27326693  2.47231187]
[ 0.14814805  3.69772249]
[-0.94719725  0.80397924]
[-0.80519934  0.11928322]
[ 0.37033655  4.72662489]
[-0.64656232  2.96828964]
[ 0.86909367  2.61233008]
[ 0.30973756  2.65357743]
[ 0.38435562  3.48709869]
[ 0.39268704  3.04065684]
[-0.3101074   1.88382953]
[ 0.02625993  0.82191551]
[-0.8110941   2.51097363]
[ 0.03239776  3.82127693]
[-0.76856413  4.29415641]
[ 0.51769588  3.11629492]
[ 0.7696171   3.67356696]
[ 0.4621095   1.75877781]
[ 0.7486011   2.83881337]
[-0.30203346  4.7106625 ]
[-0.45271092  0.78208342]
[-0.6914875   0.46392585]
[-0.15493426  2.32780958]
[-0.00567828  4.44278857]
[ 0.56891237  3.00941214]
[ 0.89085586  4.31051116]
[ 0.22620017  2.74116348]
[ 0.78475978  4.70173162]
[-0.52309536  0.06144963]
[ 0.11145601  4.99111302]
[ 0.45833575  0.09278959]
[ 0.15662822  3.27450614]
[ 0.38952112  4.202591  ]
[-0.56904257  3.14993948]
[-0.27661286  0.05355157]
[-0.42273985  1.21213038]
[ 0.41819718  3.24172608]
[-0.97469206  3.93127456]
[-0.92707691  4.52099635]
[-0.0031259   2.10554027]
[-0.46626593  3.20561791]
[-0.12783714  0.2412615 ]
[ 0.44623262  2.31084783]
[ 0.24754343  4.52687535]
[ 0.69663092  4.42320435]
[-0.46293754  0.88263857]
[-0.71143931  0.63798837]
[ 0.29354587  1.02897669]
[ 0.53145132  2.74627381]
[-0.56683605  4.53175691]
[ 0.71942878  1.71559297]
[-0.52155692  3.1617151 ]
[-0.21342477  4.13004771]
[-0.57544749  4.41271697]
[-0.01417635  4.11919482]
[ 0.38046044  4.33544452]
[ 0.07634233  3.99252009]
[-0.48939061  4.8362001 ]
[ 0.25939947  4.13413387]
[ 0.40779206  4.82729131]
[-0.45316358  4.26765553]
[-0.38601877  1.40096512]
[-0.34407562  4.94113925]
[ 0.44759165  4.16641078]
[ 0.23070713  0.92832713]
[ 0.82048442  2.74094516]
[-0.38134532  2.40214592]
[-0.95872778  4.87503366]
[-0.01459533  0.27355299]
[-0.14849603  4.06055919]
[-0.16203515  2.93138031]
[-0.07044226  2.58651787]
[-0.70164283  3.47220028]
[ 0.42510237  3.77918888]
[-0.48092765  1.8442039 ]
[ 0.57001118  0.36839752]
[ 0.03867317  2.85453945]
[-0.04808945  3.60470731]
[-0.10467342  0.74131617]
[ 0.47908745  4.3692976 ]
[-0.91463911  2.79536476]
[-0.70566743  2.31119755]
[-0.22977125  0.85996293]
[ 0.17187388  4.32759693]
[-0.21837424  3.2939227 ]
[-0.77494308  3.85413435]
[ 0.35500548  2.58415367]
[ 0.48629258  1.75974959]
[-0.84754552  2.92411876]
[-0.25261715  2.2200923 ]
[-0.70679511  4.18858135]
[ 0.4757985   3.15537494]
[ 0.15382325  1.7863366 ]
[-0.77400964  4.44761405]
[-0.98617561  4.16324268]
[-0.50272762  1.25727653]
[ 0.16274235  0.23762246]
[-0.28977126  3.56147675]
[ 0.35453488  1.84121997]
[ 0.37973137  4.9339938 ]
[-0.30663408  4.49892905]
[-0.89606015  3.36017165]
[ 0.56295602  1.62709456]
[ 0.62634757  4.711221  ]
[-0.0303977   0.41821203]
[-0.27070231  4.19938997]
[ 0.98141988  3.85246083]
[-0.70583755  3.45997907]
[-0.952975    1.00804048]
[-0.30986319  3.0292472 ]
[ 0.3207952   4.68386858]
[-0.39087022  3.673193  ]
[ 0.17633878  1.65764834]
[-0.73997942  3.81430207]
[-0.80573765  1.49584634]
[ 0.96700471  3.31513467]
[ 0.07077663  1.17742793]
[ 0.06909905  4.24573117]
[-0.68157121  1.29321323]
[ 0.28896822  1.46006005]
[ 0.34400723  4.71149204]
[ 0.80509659  3.7410248 ]
[ 0.69270605  4.93777911]
[ 0.80288266  2.42291215]
[-0.76090081  1.17904881]
[ 0.21165467  0.32670838]
[ 0.58813773  2.29642521]
[ 0.39809797  2.62438174]
