[ 2.47340469  1.66693864]
[ 2.69274769  1.53736556]
[ 2.47175746  1.66197224]
[ 2.52280083  1.67973338]
[ 3.68669599  2.06838035]
[ 2.57737093  1.60869936]
[ 3.49123874  1.67230697]
[ 2.70552902  1.55134282]
[ 2.87006267  1.48887218]
[ 3.56929306  1.71344098]
[ 3.04204533  1.49560093]
[ 2.35486234  1.96681662]
[ 3.46012427  1.68548083]
[ 2.39084339  2.08504951]
[ 3.61872205  1.93011186]
[ 3.62159647  2.01657967]
[ 2.41101357  1.72801437]
[ 2.34544851  1.8996753 ]
[ 2.99589733  1.42363265]
[ 2.3470659   1.86980083]
[ 3.65150781  2.01715069]
[ 2.5000952   1.68146293]
[ 3.48989897  1.71432105]
[ 2.4333545   1.85878075]
[ 2.7139309   1.53886823]
[ 2.54846567  1.6121558 ]
[ 3.64987748  2.06442526]
[ 3.67379625  2.02130312]
[ 3.101701    1.41599507]
[ 2.56699237  1.5671473 ]
[ 2.39322404  1.7579946 ]
[ 3.0287756   1.41098948]
[ 3.08014095  1.48450897]
[ 3.58753236  1.81390517]
[ 3.52990975  1.77479776]
[ 2.50257018  1.63397633]
[ 3.32168155  1.54733028]
[ 3.05263259  1.42423585]
[ 2.62218429  1.55553199]
[ 3.6166459   1.87555673]
[ 3.61067836  2.02501933]
[ 2.49756579  1.7325229 ]
[ 3.406081    1.63267327]
[ 2.35852633  2.06448085]
[ 3.60016986  2.04974938]
[ 3.04180169  1.41884676]
[ 3.08491788  1.41610992]
[ 2.39263406  2.06320082]
[ 3.66346397  1.92412176]
[ 3.0145468   1.47670392]
[ 3.35281405  0.00699088]
[ 3.4794934   0.15557348]
[ 3.48322514  0.11543082]
[ 2.67600362  0.08837773]
[ 2.36797977  0.52095422]
[ 2.80204583 -0.01460549]
[ 3.6611516   0.39702388]
[ 2.90240512 -0.07208443]
[ 2.78420215 -0.03773325]
[ 3.60231784  0.39169906]
[ 3.16552258  0.00716872]
[ 2.47434587  0.17070942]
[  3.13297945e+00  -2.40061651e-04]
[ 2.46180677  0.24199023]
[ 2.80836952  0.00307865]
[ 3.29168318  0.07396052]
[ 2.97719316 -0.04672318]
[ 3.50146131  0.19267561]
[ 3.61053062  0.52820163]
[ 3.55503505  0.27499969]
[ 3.33061274  0.03457359]
[ 3.0832915  -0.02596859]
[ 2.35939617  0.5845524 ]
[ 3.62495129  0.39330709]
[ 2.62026795  0.11729314]
[ 2.3168676   0.55238978]
[ 3.18773119  0.01753977]
[ 2.73989035  0.01603333]
[ 3.34276077  0.03098955]
[ 2.53314107  0.17730442]
[ 3.37678835  0.02309103]
[ 3.40255613  0.12625835]
[ 3.37259237  0.0865699 ]
[ 3.64688816  0.3570935 ]
[ 2.36821689  0.52420932]
[ 3.6551457   0.42933499]
[ 2.82901738 -0.0732739 ]
[  3.30147325e+00   7.13975792e-04]
[ 3.56730321  0.26095553]
[ 2.39933636  0.59241714]
[ 3.06431064 -0.07172424]
[ 2.4405709   0.28009694]
[ 2.64224273  0.00934376]
[ 2.85125836 -0.0059825 ]
[ 2.41533641  0.44771828]
[ 3.17687876  0.01797344]
[ 2.58826849  0.07556573]
[ 2.87515073 -0.07481524]
[ 3.565242    0.33680989]
[ 2.39712883  0.25230884]
[ 3.56806693  0.94734305]
[ 3.57129769  1.36960623]
[ 3.57465603  0.73158754]
[ 3.56626161  0.69339634]
[ 3.50677634  0.6913795 ]
[ 3.54386673  1.50920331]
[ 3.50063054  1.91304757]
[ 3.58843638  1.86137948]
[ 3.53263734  0.59985941]
[ 3.55887553  0.88506344]
[ 3.50705731  1.01485799]
[ 3.56702779  0.54702315]
[ 3.51053134  1.21398534]
[ 3.54413924  0.72165846]
[ 3.52889954  1.44231638]
[ 3.59750437  1.45270544]
[ 3.56671571  0.91517311]
[ 3.57662106  1.7086775 ]
[ 3.56372692  0.7247726 ]
[ 3.59068231  1.77124435]
[ 3.5773441   1.63864056]
[ 3.51362758  1.13591391]
[ 3.51973023  1.47928124]
[ 3.57050745  1.6379081 ]
[ 3.54570227  1.18307513]
[ 3.50292595  0.66479715]
[ 3.57563803  1.85340869]
[ 3.59151007  0.57776058]
[ 3.51467953  1.49668467]
[ 3.53415597  0.65890151]
[ 3.54136931  1.22190477]
[ 3.50828332  1.38886774]
[ 3.58218903  1.25696466]
[ 3.56050946  1.68196903]
[ 3.56834818  1.99803158]
[ 3.58613657  1.07208382]
[ 3.56255385  1.29648238]
[ 3.58876225  0.6934074 ]
[ 3.55922602  1.2539458 ]
[ 3.5329806   1.28970212]
[ 1.50064216  1.19624284]
[ 1.34952445  1.09745232]
[ 1.07245158  0.98388937]
[ 1.55677754  1.38807404]
[ 1.35935667  1.97521881]
[ 1.3421905   1.07533565]
[ 1.28549716  0.99702024]
[ 1.43970601  1.10096646]
[ 1.10694986  0.99817339]
[ 1.16112513  1.02457614]
[ 1.53373031  1.74138945]
[ 1.59475606  1.50573088]
[ 1.14871895  2.0271663 ]
[ 1.17270122  2.03405234]
[ 1.46978304  1.84619276]
[ 1.37230947  1.12664617]
[ 1.00630757  0.98689374]
[ 1.32491937  1.92013955]
[ 1.31729619  1.97063072]
[ 1.19749528  2.05564903]
[ 1.1653726   0.97794313]
[ 1.50037253  1.17403271]
[ 1.57281723  1.36910321]
[ 1.2204223   1.97727922]
[ 1.4923851   1.21191065]
[ 1.12715978  0.97561581]
[ 1.52123724  1.20420886]
[ 1.53992015  1.45241363]
[ 1.43298533  1.76571   ]
[ 1.59573078  1.51990478]
[ 1.28600551  1.94808353]
[ 1.51722138  1.53843312]
[ 1.50782898  1.44108621]
[ 1.58640764  1.44562884]
[ 1.27949951  1.05390607]
[ 1.36794478  1.94809365]
[ 1.11932311  2.05937565]
[ 1.56892846  1.58966096]
[ 1.3143011   1.02352551]
[ 1.08518136  2.04740532]
[ 0.90018627  2.06221909]
[ 0.44400179  2.03591969]
[ 0.66581371  2.04868556]
[ 0.51284423  2.01693001]
[ 0.56921886  2.04627329]
[ 0.45348722  2.01746352]
[ 0.20697747  2.06645422]
[ 0.44825548  2.01647592]
[ 0.69667177  2.0653949 ]
[ 0.43321968  2.01577048]
[ 0.64478667  2.0829491 ]
[ 0.21630929  2.02950275]
[ 0.41824233  2.05826426]
[ 0.1800381   2.05690918]
[ 0.16757691  2.03889746]
[ 0.15996745  2.09078831]
[ 0.28372786  2.09747373]
[ 0.59848362  2.00901724]
[ 0.21350814  2.09255889]
[ 0.98426213  2.04051879]
[ 0.58734052  1.05342842]
[ 0.90512856  1.07086134]
[ 0.79807067  1.0209839 ]
[ 0.08515979  1.01698576]
[ 0.24555907  1.04133387]
[ 0.6020838   1.03873577]
[ 0.59530854  1.02168045]
[ 0.2832831   1.01364386]
[ 0.20652799  1.07144297]
[ 0.85736803  1.06477808]
[ 0.45756587  1.00401888]
[ 0.05293818  1.0418605 ]
[ 0.40753053  1.01673591]
[ 0.63064575  1.06841144]
[ 0.5319704   1.07177327]
[ 0.64751192  1.06003346]
[ 0.34724721  1.08773312]
[ 0.93398457  1.0859483 ]
[ 0.19111276  1.04600888]
[ 0.82584918  1.0336466 ]
[ 0.01300429  0.06708519]
[ 0.09489543  1.08395277]
[ 0.07815011  1.60077281]
[ 0.01299186  1.58319819]
[ 0.06660663  1.55993235]
[ 0.04956883  0.35966838]
[ 0.07147464  0.4036959 ]
[ 0.03583697  0.7898626 ]
[ 0.06396402  0.12508496]
[ 0.01015104  1.62329519]
[ 0.00200766  0.1744092 ]
[ 0.03932816  0.05869479]
[ 0.03435408  1.96669517]
[ 0.03817705  0.72504449]
[ 0.06753756  1.90089025]
[ 0.0227273   1.82021412]
[ 0.02915741  1.8159222 ]
[ 0.06507159  1.35961233]
[ 0.09541123  1.48508512]
[ 0.08239486  0.58850542]
[ 0.06108344  1.5211069 ]
[ 0.09503099  1.7410914 ]
[ 0.01480682  1.20287789]
[ 0.00274413  0.42627904]
[ 0.07369011  0.98165944]
[ 0.07320759  1.63684326]
[ 0.02187227  0.08835945]
[ 0.07466396  1.57548913]
[ 0.01265388  1.7832547 ]
[ 0.07295932  1.94711876]
[ 0.05822259  0.26815484]
[ 0.00707276  1.0659826 ]
[ 0.02557533  0.31484251]
[ 0.05524747  1.14159403]
[ 0.05744267  0.69800322]
[ 0.09893403  1.45503461]
[ 0.06543444  1.25947159]
[ 0.09885561  1.520547  ]
[ 0.0046282  0.5129849]
[ 0.02307084  1.59633397]
[ 1.12500029  0.8796174 ]
[ 1.16046499  0.8350691 ]
[ 1.22996694  0.37140246]
[ 1.12041291  0.75177386]
[ 1.0719673   1.03828863]
[ 1.0214413   0.94015505]
[ 1.34216148  0.05494845]
[ 1.30830189  0.38232947]
[ 1.32373147  0.14687344]
[ 1.28122981  0.49920306]
[ 1.26016347  0.02091575]
[ 1.15457094  0.85675999]
[ 1.29205682  0.09775882]
[ 1.22205793  0.33832246]
[ 1.25047746  0.05688164]
[ 1.09641099  0.8600191 ]
[ 1.2011266  0.4753086]
[ 1.19369658  0.4815849 ]
[ 1.24237772  0.29782456]
[ 1.30405656  0.23521224]
[ 1.31286946  0.19408557]
[ 1.24097421  0.56650773]
[ 1.15268758  0.76487486]
[ 1.02881141  0.94836323]
[ 1.17594572  0.74908284]
[ 1.20197963  0.44091119]
[ 1.26749455  0.54759397]
[ 1.14688359  0.78098487]
[ 1.13332131  0.74456191]
[ 1.2910032   0.17891844]
[ 1.31034627  0.16870079]
[ 0.9792261   1.00829956]
[ 1.31384749  0.16211961]
[ 1.21894282  0.35730126]
[ 1.20487539  0.67489535]
[ 1.12850912  0.82294241]
[ 1.26633076  0.30346714]
[ 1.05122927  0.98468033]
[ 1.25421182  0.0046763 ]
[ 1.07248613  0.89491034]
